,loss,train_accuracy_history,test_accuracy_history
0,0.9422550309788097,0.731629754174397,0.6979195182042157
1,0.8782998361370781,0.7346946022727273,0.7054475773336983
2,0.8702953289855611,0.7350142045454545,0.7029838488913221
3,0.8626882834867997,0.7351207386363636,0.7054475773336983
4,0.8575573888691989,0.7351207386363636,0.7057213249384068
5,0.853731019930406,0.7351207386363636,0.7042157131125103
6,0.8516860284588553,0.7351207386363636,0.7054475773336985
7,0.8498938966881145,0.73515625,0.7057213249384068
8,0.848347054828297,0.73515625,0.7057213249384068
9,0.8469014292413538,0.73515625,0.7054475773336983
